"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",256,0,3300,3708,361,15314,3079,0.45,0.00,3400,4100,4800,5100,6000,7400,8800,12000,15000,15000,15000,15000
"POST","/",256,0,4300,4631,1084,16108,2524,0.45,0.00,4300,5000,5700,5900,7300,8200,12000,13000,16000,16000,16000,16000
"GET","/analysis.html",31,0,1300,1687,241,5931,52059,0.05,0.00,1300,2000,2300,2500,3500,3600,5900,5900,5900,5900,5900,5900
"GET","/compare.html",40,0,2600,2689,964,6154,108023,0.07,0.00,2700,3200,3400,3600,3900,4100,6200,6200,6200,6200,6200,6200
"GET","/measure.html",81,0,1700,2163,232,7455,46273,0.14,0.00,1700,2400,2800,2900,4000,5200,6900,7500,7500,7500,7500,7500
"POST","/measureResults.html",12,2,268000,251816,5194,508651,130387,0.02,0.00,269000,278000,369000,369000,433000,509000,509000,509000,509000,509000,509000,509000
"GET","/movers.html",67,0,1700,2064,195,6567,3745,0.12,0.00,1700,2200,2800,3000,3900,4800,6300,6600,6600,6600,6600,6600
"POST","/moversResult.html",1,1,7128,7128,7128,7128,105535,0.00,0.00,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100
"GET","/prediction.html",41,0,2100,2179,368,4648,40373,0.07,0.00,2100,2400,2700,3100,3400,3500,4600,4600,4600,4600,4600,4600
"None","Aggregated",785,3,3200,7295,195,508651,18717,1.38,0.01,3200,4000,4700,5100,6400,7800,12000,265000,509000,509000,509000,509000
